Step,Value 1,Value2,Value3,Value4,Value5,Value6
0,0.090312503,0.141562507,0.090625003,0.100625001,0.104374997,0.09375
1,0.102499999,0.158437505,0.087187499,0.118437499,0.092500001,0.100312501
2,,0.287499994,0.088749997,0.108437501,0.100000001,0.108125001
3,,0.495937496,0.102812499,0.115625001,0.125624999,0.099687502
4,,0.635312498,0.100625001,0.131249994,0.118437499,0.093125001
5,,0.714687526,0.125312507,0.137187496,0.112187497,0.08625
6,,0.761250019,0.142187506,0.119687498,0.123437501,0.083437502
7,,0.792187512,0.166562498,0.133125007,0.129999995,0.078749999
8,,0.790312529,0.168437496,0.122187503,0.134062499,0.085000001
9,,0.819062471,0.194999993,0.123125002,0.135625005,0.069375001
10,,0.81468749,0.237187505,0.126249999,0.136562496,0.0703125
11,,0.823125005,0.307187498,0.118437499,0.145312503,0.067812502
12,,0.83812499,0.403124988,0.125,0.136250004,0.075000003
13,,0.842187524,0.482812494,0.112499997,0.142187506,0.071874999
14,,0.851249993,0.534687519,0.1246875,0.133750007,0.078125
15,,0.856562495,0.584375024,0.115937501,0.139687493,0.087187499
16,,0.852187514,0.596875012,0.106562503,0.137812495,0.108437501
17,,0.864374995,0.626562476,0.137500003,0.154687494,0.114062503
18,,0.852812529,0.635625005,0.127187505,0.144062504,0.115312502
19,,0.858437479,0.658749998,0.126249999,0.136250004,0.119687498
20,,0.854687512,0.665000021,0.109999999,0.147812501,0.133750007
21,,0.870000005,0.696874976,0.123750001,0.145312503,0.138750002
22,,0.865312517,0.711250007,0.136562496,0.129374996,0.136250004
23,,0.880937517,0.718124986,0.138125002,0.135312498,0.134062499
24,,0.868437529,0.730312526,0.163749993,0.144687504,0.150312498
25,,0.889062524,0.733749986,0.153125003,0.145624995,0.15625
26,,0.881562471,0.751250029,0.145937502,0.154375002,0.160624996
27,,0.872187495,0.758750021,0.158437505,0.150937498,0.160937503
28,,0.88499999,0.755312502,0.176562503,0.137500003,0.158437505
29,,0.879374981,0.782500029,0.175624996,0.15625,0.161874995
30,,0.886562526,0.775312483,0.175624996,0.150937498,0.164375007
31,,0.891250014,0.780312479,0.212187499,0.147812501,0.160624996
32,,0.8828125,0.792187512,0.224999994,0.150312498,0.15625
33,,0.893437505,0.78343749,0.264999986,0.142812505,0.1640625
34,,0.880937517,0.786249995,0.29468751,0.146562502,0.170000002
35,,0.880937517,0.798749983,0.344062507,0.159062505,0.155937493
36,,0.893124998,0.796875,0.383437514,0.138750002,0.165625006
37,,0.889687479,0.789375007,0.401562512,0.152500004,0.165312499
38,,0.894062519,0.8046875,0.420625001,0.162812501,0.167187497
39,,0.892187476,0.802812517,0.456562489,0.159687504,0.165625006
40,,0.888750017,0.802187502,0.444999993,0.149375007,0.176562503
41,,0.901250005,0.805312514,0.458437502,0.150000006,0.161249995
42,,0.891562521,0.798125029,0.474687487,0.150937498,0.171250001
43,,0.889374971,0.810937524,0.489062488,0.152500004,0.167812496
44,,0.889999986,0.805312514,0.501250029,0.161249995,0.158437505
45,,0.892187476,0.801874995,0.504062474,0.168750003,0.166250005
46,,0.899999976,0.810000002,0.508437514,0.169375002,0.162499994
47,,0.896875024,0.819687486,0.523750007,0.161562502,0.169062495
48,,0.900312483,0.824374974,0.51343751,0.162187502,0.178749993
49,,0.89281249,0.835624993,0.544375002,0.170937493,0.178749993
50,,0.897187471,0.822812498,0.550312519,0.158749998,0.169375002
51,,0.893124998,0.8203125,0.557500005,0.171250001,0.169062495
52,,0.889374971,0.829062521,0.572812498,0.160312504,0.169062495
53,,0.894999981,0.829375029,0.571250021,0.165625006,0.174062505
54,,0.906562507,0.834375024,0.570937514,0.166875005,0.163124993
55,,0.905312479,0.834999979,0.578750014,0.149687499,0.177187502
56,,0.909375012,0.83375001,0.582187474,0.159687504,0.175937504
57,,0.903124988,0.835624993,0.594375014,0.166875005,0.181562498
58,,0.907500029,0.854375005,0.589687526,0.166562498,0.176249996
59,,0.901562512,0.845624983,0.599687517,0.173124999,0.173437506
60,,0.896562517,0.852500021,0.606249988,0.168750003,0.175937504
61,,0.903437495,0.853437483,0.610937476,0.168125004,0.168750003
62,,0.915000021,0.852500021,0.602812529,0.176562503,0.170000002
63,,0.907187521,0.850000024,0.620937526,0.175312504,0.171562493
64,,0.909062505,0.850312471,0.619687498,0.170000002,0.177187502
65,,0.8984375,0.851875007,0.633437514,0.169375002,0.176874995
66,,0.909687519,0.848749995,0.647187471,0.185312495,0.184062496
67,,0.906562507,0.851875007,0.634687483,0.189062506,0.176874995
68,,0.906875014,0.849687517,0.6484375,0.168750003,0.184375003
69,,0.907812476,0.850937486,0.665937483,0.165000007,0.174062505
70,,0.915000021,0.848749995,0.667500019,0.172499999,0.180000007
71,,0.914375007,0.8515625,0.672812521,0.174687505,0.183125004
72,,0.915000021,0.854062498,0.668124974,0.184687495,0.172187507
73,,0.907500029,0.856562495,0.677187502,0.183750004,0.179374993
74,,0.900312483,0.858437479,0.6796875,0.187187493,0.166875005
75,,0.9140625,0.855624974,0.694687486,0.188124999,0.171875
76,,0.910937488,0.86500001,0.689999998,0.174999997,0.186875001
77,,0.917812526,0.862500012,0.700625002,0.181562498,0.172812507
78,,0.902187526,0.86500001,0.701874971,0.185625002,0.186562493
79,,0.918124974,0.863125026,0.715312481,0.190624997,0.184375003
80,,0.911249995,0.853124976,0.725000024,0.186875001,0.168437496
81,,0.914687514,0.870312512,0.70531249,0.191562504,0.168437496
82,,0.912812471,0.870312512,0.731562495,0.180312499,0.182187498
83,,0.915937483,0.855312526,0.731562495,0.180000007,0.178124994
84,,0.912500024,0.874374986,0.721875012,0.192187503,0.172187507
85,,0.913124979,0.859375,0.726249993,0.180625007,0.177812502
86,,0.918749988,0.862500012,0.730937481,0.193437502,0.174687505
87,,0.918437481,0.865312517,0.740625024,0.185312495,0.175937504
88,,0.911249995,0.866249979,0.738437474,0.186875001,0.180625007
89,,0.903124988,0.871249974,0.743125021,0.186875001,0.185937494
90,,0.918437481,0.866874993,0.724687517,0.189687505,0.183750004
91,,0.921249986,0.860937476,0.738749981,0.193437502,0.182500005
92,,0.922500014,0.870312512,0.751562476,0.200625002,0.185625002
93,,0.920000017,0.871562481,0.738749981,0.196875006,0.197187498
94,,0.910624981,0.867812514,0.753125012,0.185312495,0.179062501
95,,0.921562493,0.865937471,0.752499998,0.204999998,0.183437496
96,,0.915624976,0.874374986,0.737500012,0.211250007,0.183750004
97,,0.910312474,0.865312517,0.753125012,0.217500001,0.180312499
98,,0.922500014,0.879062474,0.751250029,0.190312505,0.165937498
99,,0.915937483,0.863125026,0.749687493,0.211562499,0.175937504
100,,0.928749979,0.866562486,0.744687498,0.219062507,0.171250001
101,,0.910312474,0.865625024,0.764999986,0.215625003,0.173437506
102,,0.924687505,0.869062483,0.745000005,0.206874996,0.182187498
103,,0.917812526,0.86937499,0.751562476,0.228437498,0.185625002
104,,0.92750001,0.865312517,0.7578125,0.222187504,0.175624996
105,,0.92750001,0.862500012,0.758437514,0.241874993,0.180000007
106,,0.924687505,0.868125021,0.762187481,0.227500007,0.180937499
107,,0.91187501,0.873749971,0.753750026,0.214375004,0.172187507
108,,0.9140625,0.883750021,0.758750021,0.227500007,0.169687495
109,,0.920937479,0.871874988,0.752812505,0.223437503,0.180000007
110,,0.922187507,0.875312507,0.755312502,0.220312506,0.195625007
111,,0.920312524,0.881250024,0.765625,0.224062502,0.184375003
112,,0.914375007,0.874374986,0.762187481,0.233125001,0.173124999
113,,0.916562498,0.870625019,0.760312498,0.237812504,0.185937494
114,,0.92406249,0.869062483,0.770312488,0.234687507,0.190937504
115,,0.920624971,0.885937512,0.7578125,0.253125012,0.180000007
116,,0.923437476,0.876874983,0.769999981,0.248750001,0.184687495
